Vdr_Id	bare_rock	broadleaved_forest	coniferous_forest	glaciers	inland_water	inland_wetlands	mixed_forest	vegetation	altitude	Illies ecoreg	catch_area(m2)	LN	HCL	ref-P	mean temperature year	mean temperature coldest month	mean temperature warmest month	temperature sample month	precipitation sample month	precipitation year	slope	B_Fin_detritus	B_Fin_död_ved	B_Fin_sten_dom_typ	B_Fina_block_dom_typ	B_Finsediment_dom_typ	B_Flytbladsväxter_före_klass	B_Grov_detritus	B_Grov_död_ved	B_Grov_sten_dom_typ	B_Grova_block_dom_typ	B_Grus_dom_typ	B_Häll_dom_typ	B_Mossa_före_klass	B_Påväxtalger_före_klass	B_Rosettväxter_före_klass	B_Sand_dom_typ	B_Slingeväxter_före_klass	B_Övervattenväxter_före_klass	N_Barrskog	N_Blandskog	N_Hed	N_Häll_blockmark	N_Kalfjäll	N_Lövskog	N_Myr_våtmark	N_Äng	Alk_Acid	Abs_F
99	0,26771458	0,0104465	0	0	0,02660844	0	0	0,69523049	531	20	50787918,7	N	above HCL	3,45	0,52083333	-10	12,55	6,29	51,1	1113,72	1,44485963	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0,311	0,009
100	0,15410929	0,00608401	0	0	0,12105642	0,00471391	0	0,71403637	553	20	121581599	N	above HCL	3,58	-2,0825	-12,54	9,94	3,7	52,18	1087,56	2,28054603	0	0	2	2	0	0	0	0	3	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0,296	0,011
101	0,08611037	0,00013205	0	0,00125873	0,04014683	0,00717052	0	0,8651815	666	20	44191360,8	N	above HCL	3,68	0,22	-8,75	11,35	5,78	77,2	1115,5	1,09784735	0	0	3	1	0	0	0	0	2	0	2	0	0	3	0	2	0	0	0	0	3	0	0	0	2	0	0,509	0,009
103	0,0011654	0,08489813	0,25441638	0	0,03356368	0,27710043	0,08875907	0,1524899	670	20	180378659	N	above HCL	6,04	2,015	-7,44	11,12	6,49	33,52	993,56	7,79741361	0	0	1	1	0	0	1	0	2	1	0	0	0	3	0	0	0	0	2	0	1	0	0	1	0	0	0,093	0,157
104	0,00439796	0,12704274	0,26917161	0	0,02881882	0,10769583	0,00245155	0,45964197	546	20	110644228	N	above HCL	5,19	2,86666667	-6,11	11,95	7,56	27,05	880,48	9,24079628	1	0	1	1	0	0	0	0	2	0	1	0	1	1	0	1	1	0	0	2	2	0	0	0	0	0	0,09	0,085
106	0	0,00225262	0,58272511	0	0,02365152	0,13660653	0,08100121	0	289	22	193988138	N	above HCL	5,46	4,41916667	-5,49	13,78	8,41	36,6	1027,67	3,72562612	0	0	2	1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0,161	0,043
107	0,01081175	0,01516557	0,28808352	0	0,00949213	0,22394438	0,25996242	0,08250847	407	20	63803872,8	N	above HCL	7,01	3,89833333	-6,09	13,15	8,02	34,87	979,58	8,45485906	1	0	3	0	0	0	1	0	1	0	1	0	2	2	0	1	0	0	0	0	1	0	0	3	0	1	0,208	0,105
108	0	0,00183796	0,43509219	0	0,02339169	0,23805965	0,21414053	0	461	20	57808590,7	N	above HCL	8,34	3,5325	-6,37	12,83	7,72	33,7	974,82	5,25306276	3	2	2	0	2	1	1	1	1	0	0	0	1	0	0	0	2	0	2	0	1	1	0	0	3	0	0,127	0,229
109	0	0,00161039	0,22839261	0	0,02481816	0,41051109	0,24967072	0	456	20	48125037,2	N	above HCL	7,79	3,33916667	-6,58	12,67	7,65	32,12	932,05	14,2209867	1	0	2	1	0	0	1	0	2	0	1	0	3	0	0	1	0	0	3	0	1	0	0	1	0	0	0,219	0,154
110	0	0,00089522	0,65217695	0	0,01972641	0,06199981	0,14815886	0	255	22	66324785,7	N	above HCL	5,38	3,36166667	-6,56	12,76	7,25	38,09	1082,01	8,21023375	0	0	3	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	0	3	1	0	0	0	0	0	0,159	0,035
111	0	0,01219775	0,47435921	0	0,10648645	0,21841658	0,10159513	0	423	20	34247314,4	N	above HCL	5,96	3,63	-6,33	12,9	7,83	33,62	950,48	10,7278426	0	0	1	2	0	0	2	0	3	0	1	0	1	2	0	0	0	0	1	0	1	1	0	1	0	0	0,189	0,064
112	0,08444714	0,03038703	0,22392248	0	0,05860442	0,05179416	0,08547957	0,41817006	525	20	49633609,9	N	above HCL	4,69	3,15916667	-6,65	12,4	7,61	38,11	1048,41	7,08405196	1	1	2	1	0	0	1	0	3	0	1	0	3	3	0	1	0	0	3	0	1	0	0	1	0	0	0,109	0,054
113	0	0,56981306	0,06677248	0	0,05639145	0,11651895	0,15352042	0,01796344	440	20	48256491,5	N	above HCL	7,19	1,04166667	-10,45	13,29	6,81	23,05	796,94	0,95148556	1	0	2	2	0	0	0	0	2	1	2	0	2	3	0	1	0	0	2	0	0	0	0	0	2	0	0,347	0,078
114	0,01831297	0,04933712	0	0,00074424	0,01735808	0,00191181	0,00063148	0,91170431	536	20	83138528,6	N	above HCL	3,24	0,33166667	-10,1	11,99	5,79	38,47	848,17	1,38999769	0	0	2	1	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0,331	0,007
115	0	0,22754101	0,40004616	0	0,18174937	0,07582557	0,07430445	0,02005391	419	20	46692697,5	N	above HCL	5,85	1,35916667	-10,18	13,46	7,12	24,53	867,18	1,80150476	1	0	2	3	0	0	0	0	2	2	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0,116	0,089
116	0,00644358	0,00856577	0,46238537	0	0,06311642	0,15391729	0,16964829	0	427	20	108617700	N	above HCL	4,84	1,21666667	-10,35	13,51	7,04	22,3	849,43	6,00022046	0	0	0	1	0	0	0	0	1	3	0	0	1	3	0	0	0	0	3	0	0	2	0	0	0	0	0,128	0,043
117	0	0,0248622	0,68012083	0	0,00635146	0,04078805	0,10127472	0	115	22	93384934,7	N	below HCL	12,52	5,65666667	-3,07	14,04	7,63	116,64	869,99	5,97614552	1	1	2	1	0	0	2	0	1	0	1	0	3	0	0	2	1	0	0	0	1	0	0	1	0	2	0,183	0,277
118	0	0,02268249	0,57608775	0	0,0566166	0,03185712	0,07021537	0	88	22	35021509,5	N	below HCL	17,76	6,63833333	-2	14,94	8,53	108,91	791,54	2,44862725	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	2	0	0	0,502	0,284
119	0	0,01396178	0,63642582	0	0,07413682	0,10823236	0,07644598	0	209	22	85916790,5	N	above HCL	11,52	5,345	-3,46	13,9	7,34	117,08	908,01	4,89736042	1	0	3	1	0	0	1	0	1	1	1	0	0	3	0	1	0	1	0	3	2	0	0	0	1	0	0,036	0,379
120	0	0,00911946	0,73725755	0	0,00379854	0,06438011	0,12059325	0	179	22	35375451,7	N	below HCL	11,35	5,4325	-3,22	13,87	7,37	118,68	881,68	7,99814701	1	1	2	1	0	0	2	1	1	1	1	0	1	0	0	1	0	0	3	0	1	1	0	1	0	0	0,158	0,275
121	0,00143212	0,10513236	0,41696692	0	0,13901054	0,02274849	0,00197503	0,29271464	429	20	17721271,2	N	above HCL	3,38	0,60833333	-11,53	13,26	6,57	24,52	948,05	0,87117298	0	0	2	2	0	0	0	0	2	2	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0,116	0,014
122	0	0,0290886	0,30972738	0	0,11155784	0,24116156	0,23996129	0,00113866	421	20	120364710	N	above HCL	5,19	1,31166667	-10,03	13,38	7,02	27,16	909,86	2,79250602	0	0	1	3	0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0	3	0	0,076	0,07
123	0	0,0092467	0,65675602	0	0,07642193	0,08522255	0,04440896	0,0015251	368	22	59440471,4	N	above HCL	6,14	1,2325	-10,76	13,82	6,96	23,99	857,97	4,01253785	0	0	0	3	0	0	0	0	2	2	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0,102	0,094
124	0	0,00439721	0,33549189	0	0,06819713	0,32010459	0,21975789	0,00069811	415	22	77086314,1	N	above HCL	5,62	1,35916667	-9,91	13,47	6,84	30,79	955,04	5,15637278	2	0	3	0	0	0	1	0	0	0	2	0	0	3	0	1	0	0	0	0	0	3	0	0	0	0	0,104	0,075
125	0	0,44488915	0,11078113	0	0,0341949	0,3088998	0,03590047	0,06378765	484	20	46468935,5	N	above HCL	6,78	-0,2483333	-11,74	12,71	5,76	20,74	808,98	2,58568168	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	1	3	0	0,108	0,151
126	0	0,0166911	0,48542801	0	0,10990861	0,10074222	0,15338985	0	134	22	218403306	N	below HCL	12,78	3,68416667	-6,06	14,47	8,24	38,41	980,06	5,34696348	0	0	1	2	1	0	0	0	2	2	0	0	2	2	0	2	0	0	0	3	0	0	0	0	0	2	0,116	0,341
127	0	0,0472413	0,53598151	0	0,04607962	0,03144572	0,15958349	0	132	22	149971393	N	below HCL	11,92	4,12833333	-5,5	14,76	6,44	99,05	1046,15	6,321453	1	1	2	1	1	0	2	0	2	1	1	0	2	2	0	2	0	0	0	2	0	0	0	0	0	1	0,125	0,249
128	0	0,00774958	0,4620293	0	1,7964e-6	0,34221971	0,17576135	0	403	22	25897046,8	N	above HCL	10,3	3,8625	-6,03	13,14	6,29	182,18	1123,11	6,70140905	1	0	3	1	0	0	2	0	1	1	2	0	1	0	0	1	0	0	3	0	2	1	0	1	0	0	0,219	0,288
129	0	0,0057223	0,46064733	0	0,0120859	0,34634146	0,14812473	0	399	22	30800562,7	N	above HCL	9,52	3,8725	-6,07	13,14	6,37	176,03	1092,76	2,37278985	1	0	3	1	0	0	2	0	1	0	1	0	2	0	0	1	2	0	3	0	1	0	0	1	1	0	0,172	0,257
130	0	0,0172886	0,64249737	0	0,00579266	0,04915401	0,16461469	0	247	22	35497486,1	N	above HCL	6,41	4,6675	-5,15	13,92	8,49	36,3	1076,09	3,84850196	1	1	2	1	0	0	2	0	2	0	2	0	0	2	0	1	0	0	0	3	2	0	0	0	0	0	0,184	0,054
131	0	0,12434278	0,51910487	0	0,00737043	0,25836377	0,07392371	0,01383177	384	22	56530338,4	N	above HCL	6,67	0,26	-11,59	13,57	6,18	17,77	771,56	5,39382255	0	0	0	2	0	0	0	0	0	3	0	0	1	3	0	1	0	0	2	0	0	0	0	1	2	0	0,244	0,078
132	0	0,00089991	0,52347839	0	0,0291877	0,24667391	0,11623515	0	467	20	36809164,7	N	above HCL	7,69	3,69666667	-6,21	12,96	6,19	196,14	1203,35	3,59935051	2	1	2	1	0	0	2	0	3	1	1	0	1	3	0	0	0	0	2	0	2	1	0	2	0	0	0,181	0,159
133	0	0,00867312	0,42923688	0	0,00031403	0,21378258	0,14765171	0	307	22	33834779,2	N	above HCL	8,88	4,91	-4,65	13,94	-1,55	94,17	1085,95	12,6750818	1	0	1	1	0	0	1	0	3	0	1	0	2	0	0	2	0	0	1	0	0	1	0	2	0	2	0,033	0,266
134	0	0,0427072	0,31197797	0	0,02441794	0,19947603	0,24111547	0	349	22	34976737,7	N	above HCL	8,19	4,83416667	-4,76	13,75	-1,54	96,91	1111,62	3,04865258	1	0	1	1	0	0	1	0	3	0	2	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0,017	0,273
136	0	0,01626925	0,32269853	0	0,06178108	0,26184936	0,21441855	0	331	22	241127339	N	above HCL	8,65	4,83416667	-4,76	13,75	-1,54	96,91	1111,62	12,9207849	0	0	2	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0,027	0,287
137	0	0,0438735	0,45644479	0	0,11043416	0,04721504	0,17754893	0	179	22	38009073,4	N	below HCL	7,28	5,85083333	-3,43	14,67	8	141,63	971,43	4,01710385	0	0	2	1	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	2	1	1	0	0	0	0	0,093	0,091
138	0	0,0168551	0,53672124	0	6,66844e-6	0,10943673	0,1178122	0	310	22	28212537,1	N	above HCL	9,56	4,93083333	-4,59	13,88	-1,55	97,78	1118,66	5,60890599	1	1	3	0	0	0	1	0	1	0	1	0	1	0	0	2	0	0	1	0	1	1	0	1	1	0	0,106	0,254
139	0	0,01745886	0,64590669	0	0,00667348	0,06476591	0,14158296	0	215	22	24256460,4	N	above HCL	9,11	5,19333333	-4,18	14,09	7,3	147,65	1009,37	6,06559214	1	0	3	1	0	0	2	0	1	1	0	1	0	2	0	0	0	0	3	0	2	2	0	1	0	0	0,121	0,179
140	0	0,25102192	0,05275112	0	0,05470029	0,3800005	0,01077493	0,24962055	348	22	110647642	N	above HCL	8,5	-0,0791667	-12,64	13,77	6,08	20,35	613,39	5,04881529	1	0	2	2	0	0	0	0	3	2	1	0	2	3	0	1	0	0	0	0	0	0	0	3	2	0	0,401	0,099
142	0,00145487	0,04767938	0,34295536	0	0,10798366	0,22482488	0,2141486	0,02170516	371	22	214815636	N	above HCL	6,44	0,36583333	-11,45	13,7	6,24	19,32	767,82	3,86981092	0	0	2	2	0	0	0	0	2	1	2	0	3	0	0	1	0	1	0	3	0	0	0	0	1	0	0,116	0,102
143	0	0,0235499	0,36400923	0	0,00831988	0,17677467	0,08686097	0,01106116	283	22	45418389,7	N	above HCL	9,01	1,27416667	-10,29	14,28	7,01	23,19	777,72	3,64472085	2	0	3	0	0	0	2	0	1	0	2	0	0	3	0	0	1	0	0	0	0	0	0	2	3	0	0,534	0,076
144	0	0,11052681	0,00975045	0	0,00849005	0,13745229	0,00359042	0,73018999	419	22	13029965,4	N	above HCL	6,53	-0,6141667	-13,11	13,13	5,55	22,58	662	5,13950095	0	1	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0,137	0,115
145	0,00384627	0,41229471	0,12778594	0	0,04228647	0,13127418	0,0614554	0,22105703	365	20	45435182,5	N	above HCL	4,98	0,84083333	-10,79	13,82	6,59	25,16	799,57	9,63322521	0	0	2	2	0	0	0	0	2	2	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0,151	0,041
146	0	0,36754583	0,10584248	0	0,00858169	0,19906172	0,07590115	0,24239226	363	22	206340291	N	above HCL	7,59	-0,0441667	-12,57	13,71	6,02	21,46	692,96	6,88147081	3	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0,36	0,082
147	0	0,00330635	0,26711332	0	0,00071814	0,59042846	0,09756091	0	206	22	56047616,9	N	above HCL	7,83	1,34333333	-10,42	14,83	7,01	25,53	768,44	2,39395652	3	0	2	2	0	0	0	0	2	1	1	0	1	1	0	1	0	0	3	0	0	0	0	0	1	0	0,178	0,107
148	0	0,01799314	0,2571656	0	0,0082767	0,34271789	0,28604496	0	240	22	28694995,3	N	above HCL	10,37	1,25583333	-10,51	14,69	6,99	23,84	792,01	5,96862621	2	1	3	1	0	0	1	1	2	0	0	0	1	1	0	1	0	0	3	0	0	0	0	0	1	0	0,391	0,131
149	0	0,01272048	0,36471641	0	0,00068415	0,15525465	0,17116013	0,00317589	176	22	86786811,4	N	above HCL	6,59	1,2	-11,08	14,96	6,83	28,49	722,9	4,26322705	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	3	0	0	3	0	0	0	0	0	0	0	0,167	0,061
150	0	0,01471037	0,29321948	0	0,03619756	0,30031735	0,25523756	0,00562024	233	22	95191687,6	N	above HCL	8,58	1,095	-10,73	14,66	6,79	25,65	757,04	4,10735402	0	0	2	1	0	0	0	0	2	1	1	0	3	2	0	1	0	0	0	0	0	0	0	3	1	0	0,309	0,092
151	0	0,03013549	0,236216	0	0,03735102	0,29174553	0,34613114	0,00458106	261	22	55391137,5	N	above HCL	7,72	0,50083333	-12,08	14,53	6,37	27,98	666,23	4,51672281	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	0	3	0	0	0,231	0,089
152	0	0,01964156	0,38138919	0	0,01980664	0,36799904	0,19277408	0,00410149	254	22	57905746,9	N	above HCL	9,84	0,51083333	-12,1	14,57	6,47	25,68	623,25	5,24069892	0	0	1	2	0	0	0	0	0	3	1	0	3	2	0	1	0	0	0	0	0	0	0	2	3	0	0,355	0,112
154	0	0,0083255	0,2419709	0	0,12256686	0,38682226	0,18587236	0,00606542	308	22	117160049	N	above HCL	7,48	0,42	-11,72	14,18	6,24	24,08	719,25	4,88136651	3	0	0	0	2	1	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0,171	0,104
155	0,01126746	0,07713323	0,13681205	0	0,07122426	0,05318135	0,02309947	0,62254628	416	20	100833573	N	above HCL	4,01	2,62666667	-5,59	12,7	5,2	81,17	1007,64	0,9005936	1	1	2	1	1	0	1	1	2	0	2	0	1	1	0	1	0	0	3	2	0	0	0	0	1	2	0,088	0,031
156	0	0,0337746	0,31720967	0	0,08878834	0,13210644	0,21974173	0	271	22	89165705,4	N	above HCL	8,72	3,06916667	-6,26	13,76	5,36	120,43	896,42	12,0261908	1	0	2	1	0	0	1	0	3	1	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0,55	0,067
157	0	0,09947485	0,26068402	0	0,18285541	0,09035175	0,14390239	0,14273425	312	20	59398025,4	N	above HCL	5,85	3,56666667	-4,71	13,56	6,02	61,55	674,73	2,66367873	1	1	2	2	0	0	2	1	2	1	1	0	2	3	0	1	0	0	0	3	0	0	0	0	0	0	0,17	0,048
159	0	0,03777084	0,49425592	0	0,13609339	0,06934512	0,13822938	0	243	22	103490514	N	above HCL	7,53	3,1675	-7,58	14,43	5,51	105,14	904,52	5,76171958	1	1	1	2	0	0	1	0	2	0	1	0	1	1	0	1	0	0	2	2	0	0	0	2	0	0	0,13	0,098
160	0	0,11969756	0,25561837	0	0,01641425	0,17172924	0,10702515	0,32054782	353	20	40289112,3	N	above HCL	6,05	3,11083333	-5,18	13,1	5,65	55,52	731,55	2,3462896	1	1	2	2	1	0	2	1	3	1	2	1	1	2	0	1	0	0	0	3	0	0	0	0	0	1	0,145	0,073
161	0	0,14565719	0,1682137	0	0,00474347	0,25761564	0,06783344	0,26610762	456	20	38869238,8	N	above HCL	6,97	0,83166667	-7,77	11,34	3,29	136,62	1085,48	6,57101106	1	0	1	2	0	0	0	0	1	1	1	0	1	1	0	0	0	0	2	2	0	0	0	1	2	0	0,12	0,133
162	0	0,01741168	0,51226042	0	0,0381676	0,12022969	0,16806444	0	434	20	49649436,8	N	above HCL	7,07	3,64083333	-5,3	12,79	5,77	164,95	1149,45	2,49559637	0	0	2	0	0	0	1	0	3	0	1	0	0	0	0	2	0	1	0	3	1	1	0	0	1	0	0,043	0,207
163	0	0,0055709	0,65814706	0	0,03909912	0,07655724	0,09952731	0	206	22	78358946,2	N	below HCL	9,91	5,39916667	-3,66	14,55	7,44	123,31	1043,81	6,63804555	0	2	1	0	0	0	1	1	1	0	2	0	0	1	0	3	0	0	0	0	1	0	0	3	0	1	0,077	0,251
164	0	0,00098207	0,5057407	0	0,0091402	0,24956978	0,16116303	0	428	20	39186286,6	N	above HCL	7,41	3,97666667	-5,04	13,11	6,11	162,23	1160,55	3,59069172	1	0	2	0	0	0	1	1	3	0	1	0	3	0	0	1	0	0	2	0	2	1	0	2	0	0	-0,008	0,304
165	0	0,05224614	0,58544823	0	0,15562621	0,05573101	0,07244261	0	275	22	19610289,6	N	above HCL	8,43	5,0325	-4,12	13,57	-1,27	96,93	1094,99	5,95041477	1	0	3	1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	1	0	1	1	0	3	0	0	0,054	0,186
166	0	0,01218255	0,48624982	0	0,06085443	0,16308492	0,20646523	0,00255196	152	22	22286791,6	N	below HCL	9,6	2,075	-9,96	15,05	7,52	29,17	762,59	3,41677082	2	1	1	2	0	0	2	0	2	1	1	0	0	3	0	0	0	0	3	0	0	0	0	1	2	0	0,162	0,161
167	0	0,00841178	0,51779018	0	0,01905581	0,05499379	0,28874181	0	252	22	64744045,9	N	above HCL	5,57	1,32333333	-10,32	13,88	6,61	28,71	914,42	4,52102806	0	1	2	2	0	0	0	2	2	1	2	0	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0,16	0,042
169	0	0,28806711	0,01387171	0	0,02808163	0,09100075	0,00295041	0,5760284	495	20	47404926,4	N	above HCL	5,7	1,30666667	-9,15	12,74	6,52	45,96	1027,35	9,43683543	1	1	2	2	0	0	2	0	2	1	1	0	1	1	0	1	0	0	0	3	0	0	0	0	0	1	0,686	0,026
170	0	0,02543367	0,37285191	0	0,02131048	0,08874641	0,2411033	0,00012196	368	22	102490928	N	above HCL	4,91	1,76666667	-9,26	13,65	4,18	89,74	931,53	4,10686975	0	0	1	3	0	0	1	0	2	2	0	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0,196	0,031
171	0	0,01424354	0,57563614	0	0,07864369	0,13731552	0,11228893	0	265	22	62587902,5	N	above HCL	8,34	2,91666667	-7,72	14,73	5,11	83,97	941,11	4,14807678	2	2	2	1	1	0	1	1	1	1	1	0	0	2	0	2	0	2	3	2	0	0	0	0	2	0	0,122	0,149
172	0,07297039	0,15736192	0,09754767	0	0,11129167	0,02470593	0,02745046	0,50806944	480	20	87206084,8	N	above HCL	4,08	1,36	-8,36	12,37	3,7	114,56	903,41	1,48461617	1	0	3	1	0	0	1	0	3	1	2	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0,102	0,034
173	0	0,04814156	0,55683766	0	0,00311401	0,02996738	0,16167834	0	191	22	33718577,5	N	below HCL	15,21	5,69	-3,65	14,64	9,05	21,32	947,38	4,54689259	1	0	2	1	0	0	1	0	2	0	1	0	1	0	0	1	0	0	0	3	1	0	0	0	0	0	0,427	0,363
174	0	0,02401876	0,58274267	0	0,01172828	0,12333851	0,09848025	0	165	22	248498321	N	below HCL	11,63	5,50416667	-3,75	14,41	8,8	19,47	907,62	7,83737469	1	0	1	1	0	0	1	0	2	0	1	0	1	1	0	1	1	0	0	0	0	0	0	3	0	2	0,312	0,191
175	0	0,01833065	0,60043672	0	0,01354251	0,08205758	0,15892543	0	172	22	88082570,1	N	below HCL	8,69	5,785	-3,74	14,84	9,38	22,81	895,14	12,5892368	0	0	2	1	0	0	2	0	2	0	1	0	0	1	0	1	1	0	0	0	0	1	0	3	0	1	0,174	0,114
176	0	0,01661488	0,64652342	0	0,03118458	0,04889799	0,10612635	0	171	22	45575918,1	N	below HCL	9,96	5,72583333	-3,69	14,76	9,38	26,95	920,01	3,45755106	0	0	1	0	0	0	0	2	3	0	1	0	1	2	0	0	1	0	3	0	1	0	0	1	0	0	0,141	0,201
177	0	0,00429863	0,46880372	0	0,04775043	0,45347361	0,01034907	0,01532454	435	20	16637244	N	above HCL	5,74	0,355	-12,12	13,44	6,18	23,45	880,97	4,94534456	0	0	0	2	0	0	0	0	1	3	0	0	1	2	0	0	0	0	3	0	0	0	0	0	1	0	0,209	0,065
179	0	0,00647597	0,52144251	0	0,04403609	0,18627234	0,17829856	0	264	22	79451881,6	N	above HCL	7,42	1,13916667	-11,47	14,57	7,12	21,12	714,94	4,00406771	0	0	1	3	0	0	0	0	2	1	1	0	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0,116	0,118
180	0	0	0,65910941	0	0,00099062	0,26981501	0,05924819	0,00999624	364	22	20820329,9	N	above HCL	5,58	0,7875	-11,08	13,74	6,48	26,93	809,53	3,40950091	2	0	0	2	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	2	0	0	1	0	0,186	0,054
181	0	0,01064437	0,31380941	0	0,00100083	0,44807545	0,15831376	0,00449536	166	22	106081604	N	above HCL	7,29	1,7325	-9,8	14,99	7,25	22,84	762,41	4,1426707	3	0	2	0	0	0	1	0	0	0	3	0	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0,242	0,057
182	0	0,02819142	0,44719181	0	0,0005582	0,2467654	0,16115226	0,00502983	192	22	53879862,2	N	above HCL	8,19	1,15583333	-9,98	14,12	6,56	21,97	814,53	6,20406386	1	0	1	3	0	0	1	0	2	1	2	0	2	3	0	2	0	0	3	0	0	0	0	0	0	0	0,197	0,102
183	0	0,02765645	0,34922349	0	0,01074089	0,23711364	0,25794963	0	135	22	45329128,5	N	below HCL	11,16	1,79583333	-10,7	15,08	7,15	31,37	787,23	4,06742498	1	0	1	0	0	0	1	0	2	0	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0,225	0,19
184	0	0,01320778	0,78749239	0	0,00247466	0,04732442	0,14845191	0	298	22	37345839,2	N	above HCL	5,55	0,38333333	-11,78	13,42	6,26	24,04	848,12	4,12803515	0	0	2	2	0	0	0	0	2	0	2	0	1	1	0	2	0	0	0	3	0	0	0	0	0	0	0,123	0,061
186	0,00621138	0,13597525	0,24062753	0	0,00225982	0,2760235	0,18011016	0,03334271	402	20	206045183	N	above HCL	7,89	3,36833333	-5,41	12,64	5,63	126,62	862,27	4,19069446	1	1	2	1	0	0	1	0	2	1	2	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	0,169	0,159
187	0	0,00476707	0,46672806	0	0,00231582	0,15281062	0,30445282	0,00109879	532	20	46149956,6	N	above HCL	8,43	2,83583333	-6,68	12,22	5,17	138,99	984,86	1,58282494	1	0	1	2	1	0	1	1	2	0	1	0	3	0	0	1	0	1	0	2	0	0	0	0	1	0	0,173	0,238
188	0	0,00125337	0,37285338	0	0,01773724	0,1569183	0,17477586	0,00054131	407	20	109686962	N	above HCL	7,34	2,85166667	-6,46	12,24	5,11	130,58	968,21	5,65689224	1	1	0	0	1	0	1	2	0	0	3	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0,074	0,197
189	0,07251993	0,07418646	0,15129039	0	0,01168903	0,13028096	0,07636174	0,47004435	567	20	119495634	N	above HCL	4,38	2,48666667	-5,79	11,36	5,04	94,27	790,91	2,23663165	2	0	2	2	0	0	2	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0,131	0,042
190	0,0081693	0,232094	0,18911858	0	0,00526464	0,1131024	0,09915877	0,33998913	573	20	52353957,9	N	above HCL	6,31	2,17666667	-6,92	11,37	4,88	93,4	783,46	8,15676558	1	1	2	2	0	0	2	0	2	2	1	1	2	2	0	1	0	0	0	0	0	0	0	2	0	0	0,501	0,056
191	0,00114473	0,11094491	0,09624429	0	0,04613033	0,09167082	0,04656566	0,60096301	595	20	248497887	N	above HCL	6,04	2,14416667	-6,07	10,94	4,7	101,4	874,98	2,88664701	1	0	1	3	1	0	1	0	2	2	1	0	1	2	0	1	0	0	0	3	0	0	0	0	0	0	0,515	0,046
192	0	0,00048006	0,52102574	0	0,10710841	0,16051856	0,09279004	0	346	22	85927215,1	N	above HCL	7,72	3,95583333	-4,89	13,24	6,17	117,96	893,83	4,38913571	1	1	3	1	1	0	1	2	2	0	2	0	1	1	0	1	0	1	0	3	0	0	0	0	0	0	0,066	0,196
193	0	0,0387573	0,53003185	0	0,12469217	0,11875092	0,08925274	0	398	20	40850097,6	N	above HCL	6,22	2,27666667	-6,75	12,9	4,65	134,55	1013,7	6,61200764	1	1	2	1	0	0	1	1	3	0	1	0	1	1	0	1	0	0	3	0	0	0	0	1	0	0	0,068	0,114
194	0,00013129	0,16593857	0,15429625	0	0,00290305	0,35277579	0,09372575	0,22703008	572	20	133291456	N	above HCL	7	2,38	-5,94	11,35	4,88	104,6	852,14	0,99444148	0	1	3	0	0	0	1	0	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	0,136	0,164
